2015,2016,2017,2018,2019,2020,2021,2022,2023
1017180,677528,577776,437628,228000,120000,32250,62250,0
197584,149027,216662,127029,127900,230349,543061,262511,343751
18823,40511,61665,16000,0,0,0,0,0
272143,13258,66560,0,0,0,0,0,0
1483,1262,0,0,0,0,0,0,0
2324,4247,325,0,0,0,0,3810,10722
2300,0,0,0,0,0,26018,78869,115921
14700,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0
80,0,0,1000,0,0,0,0,220
1459,0,0,13585,2711,0,3295,3448,11717
727282,846077,1361733,1111449,1298902,493469,942586,1145643,462341
20920,0,23924,0,0,0,0,0,0
8818,26559,15007,72615,141564,147646,95850,78630,24000
3339321,237820,0,0,0,0,0,0,0
20240,158703,97812,210206,121000,281893,67964,20122,133675
55510,99735,48342,34531,89081,139792,204358,59524,141719
70940,32147,0,0,0,0,0,0,0
8065,8638,4481,5833,0,3481,9474,0,0
135273,296065,351302,381719,407359,173690,48234,0,3750
11037,0,0,0,2629,0,810,0,0
53852,0,68600,0,12878,0,3996,0,0
69084,155018,333614,504559,536667,219876,374570,301521,543219
36120,0,0,25374,0,1402,95153,172812,274
351,0,0,0,0,0,0,0,0
6942,9621,29182,1972,0,0,0,1702,0
13056,0,0,0,0,0,0,0,0
83473,105106,113082,23078,89675,100363,0,0,2853
4997,6863,0,4016,7200,0,0,0,0
9080,1720,0,0,0,0,2351,0,0
545667,483971,177675,42055,13350,0,0,0,0
262085,0,0,0,0,0,0,0,0
4060,0,0,0,0,0,0,0,0
1775,0,0,0,0,0,0,0,0
966,0,0,4545,7991,19991,17085,16538,31055
17664,0,0,0,0,0,0,0,0
443652,364546,297932,284892,184666,246582,142884,15450,0
36300,0,0,0,0,97,0,0,0
4560,20960,7500,0,0,4800,0,0,0
222978,211155,213554,149805,95430,0,0,0,0
231200,575987,954640,0,403200,1046640,0,21050,1391046
92456,161657,195178,396619,606407,522340,713840,435310,478272
2175,3050,4499,590,0,150,160,0,0
233080,828362,809549,1277658,3719765,4195315,9549247,13545083,11048802
15876,0,0,0,0,0,0,0,0
21200,36708,279365,199658,6253,0,7057,0,0
39841,14979,0,0,0,0,0,0,0
224600,0,0,0,0,0,0,0,0
186300,13250,0,0,21417,73059,207176,65824,139005
28120,0,0,0,0,0,0,353,0
1757,8993,22017,12152,7200,8191,0,868,0
9910,1402,2031,0,0,0,0,0,0
478285,515889,607347,309455,508459,461226,472197,505783,663694
250043,490751,1355063,1392430,1641619,2478498,2502489,2863753,2786338
99492,84325,36410,25198,3983,7905,4872,0,0
1279644,1286486,1355916,1105605,962039,936035,1172740,699569,729533
133035,204721,324030,303876,419149,163430,212526,290162,427362
45876,15876,0,0,0,0,0,0,0
4146,0,0,0,0,0,0,0,0
30838,6070,1450,2100,4985,0,0,0,0
480,1371,3284,15120,4080,600,0,700,0
29914,116263,77303,103596,141954,326226,177608,219445,289287
157,4554,0,35161,33319,13293,0,0,0
9986,23100,6000,0,0,0,13890,24520,38424
294145,296432,374551,439873,471038,622109,939326,440334,504008
38599,45326,63251,33566,37190,30860,24962,9200,6384
5150,14947,2638,6561,0,0,0,0,3392
660800,0,106350,0,0,0,523700,338561,480299
229,7602,0,350248,787,121880,0,71658,0
513,0,0,0,0,0,0,0,0
48258,706718,331919,677943,976934,802426,739899,852507,975018
2431232,1411987,518652,241084,157317,218239,0,0,0
116,0,0,0,0,0,0,0,0
303135,152360,0,0,0,0,0,0,2815
12894,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
40783,229163,207789,129439,229706,123301,157593,256772,71833
72784,93041,79711,65392,67036,75082,35694,20830,65447
60645,16050,0,0,0,0,0,0,0
275039,282807,227749,120834,93037,79919,95473,60009,73974
1770,0,0,0,20324,0,0,0,0
12521,41941,2575,3682,0,7952,0,38045,98181
29843,20749,12360,1971,3854,3238,1740,2278,3147
5192613,6579939,7004422,6250518,6322462,5981225,5508730,3632929,1206918
1067820,1425240,1039824,926400,500430,347400,153600,57600,38400
172930,266784,2276,0,0,0,11941,0,997
165876,213504,352008,380379,350128,138126,316634,287050,167252
11980,2313,0,0,0,0,0,0,141413
11719,30735,21111,24852,11850,1852,5023,83324,169930
6133,13635,2310,1512,475,0,0,0,0
605800,484526,537040,432000,69000,0,0,0,0
121090,70750,159220,113200,21000,0,0,0,0
550325,317065,576160,885371,1323228,250718,706947,536973,348555
342750,696293,817432,733555,414758,175767,446889,419882,314989
28333,21413,3105,0,0,0,0,0,0
132695,107690,110303,129670,162079,97626,145191,106370,135162
498997,6565587,4393290,2361650,68252,2913,7134,0,0
647595,224741,223485,0,0,0,0,0,0
109690,13263,0,0,0,0,0,0,0
396598,0,0,0,0,0,0,0,0
6072,0,0,0,0,0,0,0,0
2587186,1958329,2733357,2667153,2908113,3173146,3056842,3055216,3052674
41600,31600,1054,17946,35595,0,0,0,0
10807,6428,1383,2431,0,1620,0,0,0
1315,0,0,2811,0,3306,26842,5307,16278
240,290,1570,95,350,0,0,0,0
15484,0,0,2122,0,0,206692,47694,0
11157,20036,0,0,0,0,0,0,0
226713,116393,56095,34240,45401,222770,173269,160157,24000
3562,3014,1684,0,7526,0,0,0,0
105876,180000,204708,135792,101157,293099,279331,246504,164223
486571,371211,422895,386440,437290,453558,627190,387335,453293
1468,0,0,0,0,0,187,0,130
231959,324120,508722,336800,145523,116930,38240,36614,0
601540,624380,689950,731240,623309,577058,198755,184640,262550
20000,204100,40000,1502327,11800,113575,523135,2106531,3223997
7206,128097,22213,0,0,1534,3503,0,8739
18338,11531,5155,7917,1530,21643,25989,64126,140085
435632,814138,1246735,265387,163951,424559,521285,724964,288130
1035058,1586699,1525008,1844837,1304133,1017932,2086254,2370411,1687617
4790,5622,1133,0,1718,1052,4421,13947,10125
