Exporter,Product,QTY.(KGS)
ARVIND A TRADERS,COTTON GOODS,16211
ARVIND APPARELS,COTTON GOODS,2655
ARVIND INC.,COTTON GOODS,28684
ARVIND LTD.,COTTON GOODS,3527
ARYA VAIDYA PHARMACY (CBE) LTD.,AYURVEDIC PRODUCTS,36772
ARYAN CLOTHING,COTTON GARMENTS,122
ARYAN GRANITE,GRANITE SLABS\TILES,134955
ARYAS EXPORTS & IMPORTS,AYURVEDIC PRODUCTS,1350
ARZOO VENURES,COCONUTS,28500
ASALAH EXPORTING&IMPORTING,BATHROOM ACCESSORIES,15371
ASHA BIOCHEM,FISH OIL,1080
ASHIS BAGS&FASHION P.LTD.,COTTON GOODS,3352
ASHOK IMPEX,COTTON GARMENTS,7604
ASHRAV VETTEKODAN,FOOD STUFFS,112056
ASHTANGA VAIDYAM AYURVEDICS,AYURVEDIC PRODUCTS,3152
ASHWATH INC.,COTTON GOODS,23914
ASIA  PLASTICS,PLASTIC PRODUCTS,11580
ASIA FOODS,FOOD STUFFS,25330
ASIACOM (INDIA) PVT.LTD.,CASHEW KERNELS,218750
ASIAIES AUTOMATION P.LTD.,AUTOMOBILES PARTS,750
ASIAN FABRICS,COTTON FABRICS,90032
ASIAN FERROTECH,MACHINERIES,18346
ASIAN FOODS,BANANA CHIPS,5973
ASIAN KNIT GARMENTS,COTTON GOODS,32842
ASIAN MARINE FOODS,FROZEN SQUID,493501
ASIAN MOPS,MOPS/BRUSHES,6540
ASIAN SPICES,GREEN PEPPER,24319
ASIAN TEA COMPANY PRIVATE LTD,TEA,1404628
ASIAN TRADES & EXPORTS,MACHINERIES,480
ASK IMPEX,COTTON GOODS,12220
ASK STEEL GRID,STEEL ALLOYS,4005
ASM EXPORTS,COTTON GOODS,12597
ASMA RUBBER PRODUCTS P. LTD.,SURGICAL GLOVES,393150
ASPINWALL & CO. LTD.,COIR YARN,653746
ASPIRARCH MARKET PLATFORM PVT LTD,RICE,1134292
ASR ALQADASI,CARDAMOM,17020
ASRA STEELS,PIPE FITTINGS,4438
ASSA EQUIPMENTS,SPARES,185
ASSA SEA FOODS,FROZEN OCTOPUS,389500
ASSOCIATED CASHEW INDUSTRIES,CASHEW KERNELS,30876
ASSOCIATED RUBBER CHEMICALS P.LTD.,RUBBER CHEMICALS,74519
ASSOCIATED RUBBER INDUSTRIES,RUBBER MATS,22178
ASSOCIATED TRADERS,ROSEWOOD VENEERS,114883
ASSP EXPORTS,COCONUTS,85250
ASTERIMA NUTRICARE P.LTD.,NUTRACEUTICAL PRODUCTS,1965
ASTRA BIOSCIENCE LTD,HOSPITAL PRODUCTS,7858
ASTRA EXPORTS,COTTON GARMENTS,630
ASTRA FASHION,COTTON GOODS,3566
ASTRAA APPARELS,COTTON GOODS,9917
ASTREA EXPORTS,COTTON GOODS,113268
ASTRON CONCRETE PRODUCTS,BUILDING MATERIALS,580534
ASTRUM HOME TEXTILES,COTTON GOODS,197
ASVINI FISHERIES P.LTD.,FROZEN SHRIMPS,707974
ASWIN ASSOCIATES,FROZEN SQUID,2176675
ATCHAYA EXPORTS,COTTON GOODS,2102
ATCHERRA IMPEX,OIL,25134
ATHEENA EXPORTS,VENEERS,135140
ATHIRA PLYWOOD,PLYWOOD,1234700
ATHISH GARMENTS,COTTON GOODS,7711
ATHIYAN AGRO PRODUCTS,COCONUTS,227950
ATHIYAN EXPORTS,COIR FIBER,59120
ATICK HOME TRENDS,COTTON GOODS,27461
ATK ENTERPRISES,TILES,54890
ATLANTIC CARE CHEMICALS,DETERGENT POWDER,1556112
ATLANTIC FABRICS,COTTON FABRICS,1044
ATLANTIC FOODS INDIA P.LTD.,FOOD STUFFS,19000
ATLANTIS INTERNATIONAL,CORRUGATED CARTONS,9198
ATLAS EXPORT ENTERPRISES,COTTON GOODS,51774
ATLAS EXPORTERS,COTTON GARMENTS,7397
ATM RUBBER INDUSTRIES,TYRE RETREADING MATERIALS,29390
ATMOS TRADING INDIA P.LTD.,SCRAP,4875
ATOZ EXPORTS & IMPORTS,COCONUTS,56120
ATS ELGI LTD.,HYDRAULIC FITTINGS,63780
ATTIRE CREATON CO.,COTTON GOODS,1994
AUDHE INDUSTRIES,ALUMINIUM CASTINGS,124085
AURA EXPORTS,SURGICAL GLOVES,218484
AURA TRADE LINKS,COCONUTS,28500
AUREA BIOLABS P.LTD.,NUTRACEUTICAL PRODUCTS,20845
AUTO DIECASTING CO.,AUTOMOBILES PARTS,1522
AUTOBAHN TRAVELS P.LTD.,AUTOMOBILES PARTS,54208
AUTOFIT CAR INTERIORS P.LTD.,CAR SEAT COVER,384425
AUTOMAIX,AUTOMOBILES PARTS,16652
AUTOMATIX,COTTON GARMENTS,5703
