Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
05-11,1679491,1805895,991281,346950,1198180,1134691.3110506225,1134691.3110506225,1114120.6546294815,1113272.1061998147,1109402.1000928888
05-12,344526,995967,1783359,1001102,501138,1009287.170164866,1009287.170164866,1004816.2872020449,996948.1281170116,990890.0648770571
05-13,1030556,1205260,985410,1001102,1198180,1266951.7038322,1266951.7038322,1262590.2476403671,1255783.9873935997,1247919.281946644
05-14,1635511,1689095,985410,1103407,100686,345934.9185460796,345934.9185460796,314085.8693739741,318874.1810117643,332372.76316401514
05-15,1457846,72452,80000,1001102,2582503,2307852.0587711777,2307852.0587711777,2301322.227191163,2269548.108555885,2250411.920828539
05-16,1030556,15000,1536693,2389491,1710925,1137767.4089417283,1137767.4089417283,1120732.040935633,1116606.135767372,1109547.212917086
05-17,1030556,424325,985410,1001102,1198180,1131510.8642423763,1131510.8642423763,1124538.7283067603,1118513.54780924,1113039.930253723
05-18,618354,1035713,1618502,1001102,335345,596190.5955529455,596190.5955529455,591538.5830819333,587337.9186678346,584841.2183481038
05-19,1724855,995967,1700775,980163,1198180,1076715.7777521557,1076715.7777521557,1067767.0033752394,1059049.1586018144,1054322.0866757336
05-20,32977,1269085,985410,502782,1172228,1212326.4803678384,1212326.4803678384,1209147.0654188069,1198921.691352459,1192952.6609375384
05-21,1152978,1797842,766116,797311,329540,434520.2858305322,434520.2858305322,429264.81717885344,420165.4442256957,413762.48262469884
05-22,1569985,324857,1932343,1001102,2225042,1893076.7879625976,1893076.7879625976,1902349.239137767,1907830.3932709657,1901546.9221217094
05-23,224529,995967,985410,160463,641067,1050456.0145383673,1050456.0145383673,1038937.6256357,1034306.968798488,1029074.4708980618
05-24,1030556,2000530,985410,1709501,328220,594259.9924495933,594259.9924495933,585146.0108260551,583254.8722800569,581177.3731957972
05-25,1030556,47878,1354063,410375,273731,665434.6618731677,665434.6618731677,674658.9771771906,672857.5993119399,668661.5394972216
05-26,2481189,995967,1144446,1001102,179127,953935.9335749202,953935.9335749202,941323.2976025704,938164.2455461108,932115.0190273279
05-27,2591526,1505501,985410,1001102,1730231,1622632.0462604463,1622632.0462604463,1607038.2042596126,1598835.3222207983,1586532.7611565646
05-28,1030556,1827491,318615,1636455,1198180,1248915.1948609666,1248915.1948609666,1233976.0937036024,1234416.2177378314,1226704.4662117641
05-29,1030556,860585,985410,2204343,1198180,928495.6097198837,928495.6097198837,928094.0038619612,923697.9617013064,917142.1884626128
05-30,1286324,995967,153876,1305059,5734111,3411076.703922302,3411076.703922302,2852158.919390772,2584819.5422947854,2473492.173888345
05-31,421774,1792161,1343077,1001102,816859,580450.6223662588,580450.6223662588,585406.389666596,577160.8044182559,571541.3411102466
06-01,703570,995967,908810,558130,1198180,935403.983032455,935403.983032455,928414.6342492098,922167.6614264274,916558.8321050552
06-02,2787360,53877,102000,678089,1198180,1163540.5031440349,1163540.5031440349,1179594.2070327585,1166415.8728776774,1159232.6913974544
06-03,2401072,995967,924133,649070,1198180,1082066.3226932834,1082066.3226932834,1082589.1582098922,1077297.1570882304,1070976.2694201276
06-04,1627907,43000,233917,880693,732844,774744.2268920877,774744.2268920877,791921.8021005982,784448.1106471681,777587.166125188
06-05,1030556,145803,1311267,1795806,1474452,1428985.4825606318,1428985.4825606318,1422751.060764033,1417739.943081312,1410638.9433845286
06-06,534235,397894,807514,611210,666718,714621.412453935,714621.412453935,716062.7669970582,708926.512742357,704735.3628189414
06-07,1360307,10374,328430,1213845,1198180,1361559.9885604302,1361559.9885604302,1355398.1339992664,1349022.2365641438,1338761.519248586
06-08,3598011,1593326,928276,1001102,2919146,2126566.0912549864,2126566.0912549864,2232592.2610986307,2295689.2503868667,2321085.349364952
06-09,1030556,826587,985410,445759,1198180,1030425.7209740093,1030425.7209740093,1019634.6063092602,1017453.1606916846,1011324.6897933728
06-10,806997,33113,1239409,224683,2610859,2013767.3959297969,2013767.3959297969,2079627.426051038,2127618.103364862,2161782.6773557137
06-11,1590813,105504,985410,196783,1060373,1033522.2820250934,1033522.2820250934,1030671.588906531,1025353.4621339486,1020540.7671341179
06-12,4835,916661,174263,1470461,33434,596940.9040440103,596940.9040440103,625219.8051103932,615200.8059933407,608932.3141735686
06-13,825046,995967,1735664,1001102,1198180,1130710.3892785711,1130710.3892785711,1124503.97774642,1115946.8636559115,1107831.132119519
06-14,1030556,482812,985410,534095,2993596,2071698.893560703,2071698.893560703,2212818.754980231,2256090.3690110072,2280284.454350747
06-15,1280016,1730771,1899715,911277,816956,979723.5480615254,979723.5480615254,972530.552460832,967788.639235004,962549.6711442616
06-16,154873,995967,985410,432767,102566,827461.493423197,827461.493423197,820318.9922368093,814155.5868631246,809794.026071878
06-17,1030556,262391,37940,1062607,371839,589619.800910614,589619.800910614,593046.4705139666,601543.5694011211,603890.7083145491
06-18,376422,2339132,2215330,1309072,277098,654466.5499415336,654466.5499415336,666572.5197904424,657721.1655864404,653767.292449674
06-19,2258137,86988,985410,1001102,1198180,921748.9969717722,921748.9969717722,924411.2211782956,919179.869391182,914539.917843956
06-20,206230,1123371,985410,1330509,2908700,2433274.410787379,2433274.410787379,2361468.5787264374,2330195.1745742243,2338930.953012928
06-21,1030556,525424,106262,1461574,475899,775146.8141398303,775146.8141398303,764123.3520169951,757317.95848581,752714.7725276238
06-22,1587242,995967,1144069,1103883,583735,757836.6734606221,757836.6734606221,750886.7582974109,748035.5902674614,745090.0338226991
06-23,138000,995967,2170126,1367994,2111541,1690407.274026949,1690407.274026949,1712489.3070355942,1719021.280897254,1710699.405687338
06-24,672380,1915380,625379,156025,1946630,1667001.3919198073,1667001.3919198073,1640977.321974241,1625207.961397614,1620147.9252807403
06-25,580927,2079863,985410,390298,1198180,865118.8089450673,865118.8089450673,854208.6981174919,849738.5253164599,844669.2605136263
06-26,1522914,254017,985410,1001102,2068514,1868177.8504455483,1868177.8504455483,1840628.2598958088,1832857.4161088355,1817771.7085394545
06-27,354151,668400,338816,794999,1198180,1019464.518087058,1019464.518087058,1016979.5963314074,1013615.7213529092,1008662.8614864433
06-28,729882,2358632,985410,1001102,1198180,1144273.0431002846,1144273.0431002846,1144749.0639351462,1134971.172740114,1128455.3314757152
06-29,1030556,995967,1601478,1308869,1118273,1287582.292688883,1287582.292688883,1284601.694676565,1279496.230606108,1266796.512517162
06-30,491886,185672,1084148,1994199,545951,1105871.6903045997,1105871.6903045997,1108949.5611923249,1099275.972115282,1091741.9233216066
07-01,1030556,266878,1481618,341190,1986833,1846028.8689344889,1846028.8689344889,1861555.722274315,1860607.2638218373,1852199.075881773
07-02,343929,995967,1063588,1519759,2386754,1837993.29032099,1837993.29032099,1840970.643239166,1827791.178723131,1813977.3701009022
07-03,721862,995967,985410,753561,287116,652968.2715472849,652968.2715472849,649335.0901345428,645699.9379769635,643271.3778658678
