Month_Day,2018,2019,2020,2021,2022,2023,2024
12-08,2085781,899322,257842,451476,1198180,1200504.8360953175,1200504.8360953175
12-09,16914,728628,39000,1001102,109718,438163.6116246375,438163.6116246375
12-10,2070899,995967,406871,4125467,658817,722993.291678631,722993.291678631
12-11,1940027,882100,859360,142092,917003,915601.2327269408,915601.2327269408
12-12,227062,109222,1728747,1942264,299712,799576.5834402988,799576.5834402988
12-13,1577389,976204,985410,542694,1198180,1275785.3515381638,1275785.3515381638
12-14,1658727,995967,232187,3466336,383748,565379.8395636722,565379.8395636722
12-15,1030556,170426,244856,887390,3488779,2502704.9525454016,2502704.9525454016
12-16,1030556,3601666,967871,1001102,54200,874450.1006721207,874450.1006721207
12-17,1530251,995967,751870,1001102,1157229,1303852.478216326,1303852.4782163259
12-18,1765062,285767,985410,1001102,410130,772550.2818123798,772550.2818123798
12-19,174369,995967,2185577,617646,1363541,1272086.5189628515,1272086.5189628515
12-20,1030556,666645,179996,149415,1198180,1142471.806698595,1142471.806698595
12-21,1241728,511703,391474,1957493,2467849,1976588.938518744,1976588.9385187442
12-22,594721,995967,248608,1574834,1198180,1397410.01676938,1397410.01676938
12-23,1030556,1871252,1462512,1001102,82256,625949.6240204902,625949.6240204902
12-24,3122642,117747,606878,1224472,1198180,1283617.3982293238,1283617.3982293238
12-25,103044,253650,959254,1004549,1086993,1186910.9810839272,1186910.9810839272
