Month_Day,2018,2019,2020,2021,2022,2023,2024
11-11,669810,1769135,1303282,1001102,127226,993280.1712455231,944674.8386238384
11-12,45000,65554,345699,999768,263172,681009.0427773272,716026.7526978236
11-13,1030556,1443565,1195712,392751,1321624,1409664.057113448,1330229.40916787
11-14,1030556,31000,136145,400150,186143,404231.8742027928,474510.3559316585
11-15,76884,1911086,1246453,1599285,3334970,2681940.445647194,2649354.5590381203
11-16,1488036,249889,1338890,1885526,1722214,1520772.621366174,1484076.411310895
11-17,788942,709253,178053,494876,1198180,1182399.62454689,1192262.20658286
11-18,1030556,1860922,985410,1001102,55000,901997.8593176168,926257.3149022727
11-19,1894887,1084605,353904,36316,766455,693214.1349956085,645991.7860275948
11-20,979633,196508,985410,1001102,977132,1312109.7119231585,1206534.2018198245
11-21,409356,995967,223948,2423678,1451698,1099917.4049449945,1175193.3265291573
11-22,1030556,926905,1492144,1415482,63754,793503.4423321598,832509.3037799833
11-23,982438,995967,740304,1507256,2415260,1872422.6368599157,1782088.8517617707
11-24,673080,1367013,985410,1616300,1198180,1159547.534159948,1201489.2898354745
11-25,1030556,761752,410993,1001102,57765,1129571.0484613683,1049089.1395872396
11-26,1412139,1072610,1403657,1001102,216931,645510.3728663367,728096.6982121556
11-27,1894303,402778,985410,1001102,541469,879017.3556003766,892692.7983321053
11-28,1030556,119302,19200,414573,929854,1092740.4502299237,1081069.3551878878
11-29,232468,1375245,1182522,1791887,3127228,2358297.120337564,2374506.683936045
11-30,2113886,15000,1645897,2049082,1025531,1019579.275895495,996552.4550707574
12-01,1843619,995967,139500,1001102,55305,1014223.435609324,950806.8324487372
12-02,809940,9000,1553751,110608,643685,852103.4594999449,875212.4055432116
12-03,694473,2017247,382568,2581756,414578,829386.7064964477,821271.6299869409
12-04,467960,1795842,985410,1530076,1140472,1121824.719219608,1180577.5873033907
12-05,1182186,409224,1842527,77185,1573210,1519719.1327488387,1476399.2732074892
12-06,1551718,186283,985410,193758,2006936,1744338.237043665,1725470.4698615756
12-07,1030556,588744,1147598,1001102,1092071,1097473.1720274407,1201690.1134815118
12-08,2085781,899322,257842,451476,1198180,1128301.6722843016,1096226.6094290165
12-09,16914,728628,39000,1001102,109718,225370.08578453364,261832.8527846516
12-10,2070899,995967,406871,4125467,658817,684126.946352271,712289.5927429235
12-11,1940027,882100,859360,142092,917003,1015612.5920245996,1024947.0141842846
12-12,227062,109222,1728747,1942264,299712,779976.9168840464,805237.4724827553
12-13,1577389,976204,985410,542694,1198180,1264113.3865061137,1226466.606869708
12-14,1658727,995967,232187,3466336,383748,498612.91191295953,535182.8413444629
12-15,1030556,170426,244856,887390,3488779,2105319.9982576026,2209057.724036599
12-16,1030556,3601666,967871,1001102,54200,232915.95011661013,273896.58042301703
12-17,1530251,995967,751870,1001102,1157229,1207018.189944401,1205847.0578921172
12-18,1765062,285767,985410,1001102,410130,959904.5130213863,854252.8126015626
12-19,174369,995967,2185577,617646,1363541,1394855.1062801336,1380874.224429985
12-20,1030556,666645,179996,149415,1198180,1276938.107540036,1272204.0829343747
12-21,1241728,511703,391474,1957493,2467849,2175184.5335438526,2085056.6852751886
12-22,594721,995967,248608,1574834,1198180,1267295.1710691836,1256804.1916525897
12-23,1030556,1871252,1462512,1001102,82256,803085.6024416207,822846.7584108661
12-24,3122642,117747,606878,1224472,1198180,1239945.651361031,1253872.9036724837
