Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023
24-Oct,7706699,12495889,12074557,11448842,5499970,0,12984319,7952445,6745
25-Oct,0,2864108,2695029,0,4999470,654615,5732593,2138387,7159621
26-Oct,29146765,3534623,0,14266411,0,18301300,9232769,0,3584497
27-Oct,14153548,48838603,6391650,6142620,34000675,9058470,54685,0,6192257
28-Oct,2957963,0,0,0,11072903,0,9527488,8353272,0
29-Oct,4739045,9039898,10804808,15263603,8611081,3111035,0,2647564,8788078
30-Oct,5512821,0,3746827,6741189,6355486,9000000,2712651,14513500,0
31-Oct,0,17272,7765578,20218210,0,5166343,11940446,0,3467217
01-Nov,36000000,5389824,1595750,0,1862810,465770,0,5097010,1190527
02-Nov,0,2120038,1266193,1890676,86422,12017858,2131999,1628624,0
03-Nov,9931673,8837669,4137002,0,8621019,0,2259404,42340000,13898392
04-Nov,2382515,11341994,1032318,24980,6176937,5496437,12729991,4146576,322549
05-Nov,26843266,1343589,9863065,8145147,9901831,13058879,673456,18951793,1382566
06-Nov,5304613,0,2958304,21163538,3236838,0,10753622,1085019,0
07-Nov,11734,26357839,7965329,6218594,20006000,10245740,1413292,6662335,14533840
08-Nov,848954,10981971,4000650,0,1854085,44058972,5009923,5252417,391086
09-Nov,4834483,9232032,3649548,18071770,1048000,0,11002652,2649485,16384734
10-Nov,9027051,4698022,5991636,0,0,4999415,31232529,1712401,3454161
11-Nov,3372027,5508018,0,8650259,17814042,9237187,4000150,4177698,12241001
12-Nov,5844062,0,524616,0,7077031,5775607,2290794,9483553,3004455
13-Nov,6882852,4977558,7645628,11654321,4082435,9671247,13075994,4496906,9404457
14-Nov,0,2257444,6435619,0,87205,1115136,380209,2575472,0
15-Nov,1867024,28989836,20700,8749572,3600,245773,2901144,3059452,60245423
16-Nov,10566689,0,0,48336,2863491,16138313,6527787,0,0
17-Nov,11878398,7849625,5821248,0,5257930,11102959,12287730,14889599,5177664
18-Nov,1213966,5934761,43262000,9133986,12237201,0,0,389134,1353002
19-Nov,2749175,18001000,28210306,11342897,15960874,1285366,2013029,8966680,3289054
20-Nov,16109966,1975273,3426764,14192227,5335487,56258760,10281403,4823839,28247223
21-Nov,4851064,8452444,14614179,5849331,0,3717346,7800114,7487285,3902975
22-Nov,0,63339911,5598992,6287570,0,27865883,3959596,1138594,6187009
23-Nov,2102122,11715736,0,399178,0,5725850,4601761,5309710,2436446
24-Nov,24219603,2487301,4153669,1050496,0,0,2865198,0,4848188
25-Nov,1580277,6492842,57018613,0,12229821,806737,0,6381499,5901
26-Nov,5256992,1547791,9671081,35669496,20478983,27108,0,2816991,13645860
27-Nov,3082533,0,6483264,6526879,4185419,5234294,2070020,1963433,0
28-Nov,40143886,13432599,12672618,0,69034,3300,1129871,6505837,4026155
29-Nov,9350122,11632028,400000,0,0,1215979,45791271,7304887,7919317
30-Nov,4573529,2220461,7861500,5994799,6537000,12305384,10957766,1218561,3644220
01-Dec,9788154,1013241,2103613,0,2500,0,0,429690,4270364
02-Dec,426367,8831642,342187,833130,8036251,0,3915460,5594788,195112
03-Dec,24318435,0,0,10396972,15864716,4199850,3495823,11035990,9775121
04-Dec,5866403,499134,1432295,26564447,12022388,6886440,13077655,3196333,1337889
05-Dec,0,41469554,15286909,5717888,4855850,3443932,3758110,3763807,433088
06-Dec,30070,11168533,178053,42001,2900,4463932,6289180,18798787,11003927
07-Dec,5231478,3154659,1224378,1629804,0,1968743,2356681,4125043,0
08-Dec,16003407,5666504,6522786,4200000,9248174,8939585,0,0,5236574
09-Dec,2427808,11733014,0,7634580,5881769,10600000,1637114,12330052,14103034
10-Dec,6506790,0,14836959,13755130,9289219,8430311,13627902,6642507,3148037
11-Dec,1472739,5000165,2581662,0,4466268,2560530,40411526,5019166,0
12-Dec,108790,2712383,6476912,23662498,76804,6598287,4076977,1313867,0
13-Dec,0,2573396,8763864,6397738,4750300,17315208,2146020,0,7071317
