Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
28-Apr,8914017,2401330,11702575,6189235,0,138899,9872572,1789156,902878,9873504.884852557,0.0,1787808.0304812016,137770.9808835052,1789540.1556524727
29-Apr,1157,9428769,1001349,7416,12791069,8586458,0,4666734,5896617,54.26370009034872,12793166.907567594,4666650.548527873,8584564.441723587,4665372.808620655
30-Apr,3289106,2919108,3068096,14811099,9630003,0,104654,3770382,23014418,105062.11835611892,9630600.801651211,3770664.338858616,0.0,3769134.019017655
01-May,13118119,0,7726570,13212177,7845577,0,18641320,407584,2410560,18641961.261418857,7845093.844291718,407770.7410267303,0.0,408565.2620529281
02-May,44467134,3104284,6949290,0,435142,758457,888606,21684966,19066865,887506.6584434304,435279.3659454677,21684651.217321068,758937.0765999667,21684280.974840753
03-May,2634391,13286178,10458068,0,3000,0,2183933,19737332,7441024,2184731.514094852,2855.4922012817115,19737756.02191668,143.16776418220252,19737407.1740492
04-May,9240000,6031815,29148655,2639036,1930543,0,43925,4052961,1329411,45794.20590617415,1930235.836505142,4054486.680827113,0.0,4054880.6725105555
05-May,10308242,6212960,8028760,3800000,1494738,8690332,0,1295851,13750727,0.0,1494365.7238834454,1296250.5644227108,8689619.16586594,1296054.4804025004
06-May,0,8167868,0,0,23756367,8385239,22512619,18054581,5809595,22512228.76845756,23755414.401731696,18054594.812600404,8385314.317540321,18055143.444882326
07-May,10239777,8496000,0,11873046,54800,0,0,808633,0,0.0,54181.871699934825,809607.7592663188,0.0,809083.7204635702
08-May,9075373,44000000,0,13089081,20274156,0,18722271,0,2162453,18722154.390074737,20274509.713652298,0.0,373.4098525373265,630.3144092597067
09-May,4143796,996195,9542348,3017754,10228957,1803932,9175992,1608000,5272063,9175277.415492054,10230161.273974234,1607610.93308515,1799824.179367615,1607840.4165977677
10-May,0,18639602,15000000,0,0,25369,26965400,6437660,3869043,26966162.50847564,662.8117422508076,6437890.738481388,25000.21889010724,6438459.641111774
11-May,8852000,7887640,4120873,4265127,1283674,2362953,145800,0,0,148311.71476643533,1280802.2244317615,1081.6316554537043,2364033.16629756,2847.109215072356
12-May,8686239,3310694,7909923,4927010,104400,7323704,7631446,6544982,5904168,7632489.188789643,104734.50014242716,6544862.631813968,7327234.173549912,6541256.178847356
13-May,5473215,34331314,121076,274512,13126345,0,0,0,4132088,1383.3604299165308,13125108.603228426,1087.3714436395094,1963.7176118390637,294.77309487201273
14-May,5168248,5690868,0,10597716,9012213,0,170261,7992657,9717608,171511.6301548034,9010857.483740784,7991724.478073575,0.0,7989850.015345137
15-May,8905529,173718,24487599,9146930,11436130,8103585,8700772,4353078,1683923,8699871.241595779,11436030.10974146,4353954.258091616,8103497.3881134065,4354486.132288892
16-May,3277649,0,0,5522686,124917,511338,9550660,9964132,5444071,9548422.827948617,124327.60663394725,9964773.6575366,513490.6523769824,9964327.666355606
17-May,48368743,30675001,191968,0,1426470,0,28796966,1420841,5268740,28796940.05361792,1426420.396761489,1420675.348008375,0.0,1420884.962460395
18-May,0,1051801,7725644,1687141,7900,1223076,6750458,0,3451168,6748195.169529456,5123.927778799087,0.0,1222767.6872999752,2068.8013117955998
19-May,10535966,1529763,9080367,1963591,0,10201664,0,0,9863718,2557.754773173481,765.0835165884346,1568.7470831843093,10200093.698880196,2966.9467628579587
20-May,5533506,3322265,0,345946,7345450,0,4111727,6913206,4973246,4112512.269648864,7343192.492698484,6912357.077706925,0.0,6912340.937777974
21-May,3997530,3437896,0,8729764,15520626,0,9785326,4224518,278021,9784293.75579762,15520673.551667938,4226654.840575859,3333.1997158899903,4226323.272385441
22-May,9642828,6361492,3105731,8331188,12089845,3154191,8998730,9311066,3599403,9000620.530145407,12089343.315991748,9309053.461082716,3150512.433230485,9306385.292024052
23-May,0,0,11168358,0,271430,10500160,0,6578720,15084154,0.0,271953.9904106362,6578807.291010029,10500806.104944332,6578550.790450842
24-May,0,10421961,1614018,43650000,7208427,0,10396496,38502,6269808,10396301.170926835,7207238.924764335,39383.35965852812,176.24300278816372,39872.443700691685
25-May,4294628,11389176,11948175,0,0,6305244,6580190,45605697,5500000,6580686.931431361,0.0,45604850.97718836,6305996.852177426,45603932.03239557
26-May,14940363,4612617,8687210,1115964,0,33748327,129128,4259317,27590536,129497.4070828762,149.78875525016338,4259032.934792199,33749102.90865609,4258335.719390323
27-May,9577664,6782197,2407591,445570,13728214,4753740,0,10912212,0,312.00491353310645,13728419.154488925,10912559.665290777,4754510.56463331,10911159.698348809
28-May,8819290,9151825,30500512,1108214,9043688,490471,18001733,6293037,1308446,18001281.448374845,9044194.502131077,6292201.9130730005,490491.4653767469,6292421.764264941
29-May,8728816,0,0,12966417,7941210,11992880,6481268,5298106,4473577,6477617.681238654,7939143.179486826,5297791.498511161,11990781.982328616,5297239.608520415
30-May,7783716,2688470,7964971,16432829,0,0,9298616,10717883,22413910,9298644.520444935,28.66420139092952,10718528.059472444,254.8539691800252,10719117.558767667
31-May,2898061,28399379,0,0,2835081,19015580,0,5575095,2930696,600.6624223748222,2834780.832631292,5574488.903281367,19014980.75266392,5574771.604690476
01-Jun,198000,16078479,0,118046,0,95224,450568,0,0,451141.2677556072,0.0,601.98300457187,94428.40025306772,1399.321515337564
02-Jun,11096584,10641236,10747090,2981456,0,6823240,5333183,0,4188255,5333380.281408825,0.0,957.184601822868,6824543.50498375,2221.6633746540174
03-Jun,7309807,6672226,2603569,23020280,16436425,0,7035424,0,6687679,7035500.147282843,16435934.144585388,0.0,0.0,0.0
04-Jun,2110445,192784,802424,19916162,9298682,0,15740800,9308993,6007061,15741043.431532783,9298252.692752983,9307881.266193485,0.0,9308657.09260024
05-Jun,18020443,0,23314545,0,12475071,4074687,5528500,12402007,13391453,5528532.352373324,12474772.052164497,12402450.69676924,4075318.170317835,12402494.87338125
06-Jun,0,6152643,6918554,4216706,10713186,111600,47168373,1457137,0,47169217.85755802,10712593.193004211,1457568.2890183935,111949.03507748712,1459343.2147622677
07-Jun,0,25690555,9464676,9379587,4297477,0,9971550,0,1402243,9973355.991531435,4296851.862347208,0.0,593.5217432361096,179.70909626223147
08-Jun,553118,2429170,1574903,300061,157640,3426293,13659587,17628078,4137234,13660006.902678251,159368.0183694074,17628533.92971155,3424986.01956926,17627279.18730969
09-Jun,14245835,4982262,13434213,52325570,0,19388177,6255835,0,0,6256343.969665691,436.7422271193937,298.08213417977095,19387671.15304627,548.4623329471797
10-Jun,13426069,192784,0,0,22968645,826650,1005081,10806497,7236289,1005556.873521912,22969259.58080288,10806231.623235326,827703.4295598418,10805408.84300043
11-Jun,7406260,9763568,323296,2909269,0,6478288,6928590,2657799,13121432,6929164.523886126,0.0,2658282.2200628705,6477029.951618912,2656694.690710803
12-Jun,5602509,3595721,6639675,8533102,15131602,0,4123226,9102690,9253810,4125254.9517030097,15132378.412560187,9102487.2076172,764.691557127051,9102960.722589824
13-Jun,35669453,0,7294299,912257,0,3723557,0,7179420,7399379,478.22051354311407,43.39646541234106,7180080.5209399685,3722890.3230299903,7180659.090723872
14-Jun,39835816,18943614,477582,0,12494691,12000000,3030995,7092354,134553,3031318.089003095,12494882.250163412,7092838.561329599,12000161.872188589,7092505.790132957
15-Jun,0,3323966,3489711,0,30094980,7986203,7980367,6267605,4172609,7980043.314354558,30095639.443019822,6266953.810670007,7987448.976731883,6266223.363140548
16-Jun,8529178,0,1572724,737893,16055700,0,142315,221292,6749370,142057.79397688713,16054729.495211571,222953.82854941115,699.6959616718814,223457.684449099
17-Jun,2977007,4322187,8985419,0,5602230,283510,8718225,1792082,0,8719380.382359829,5602699.562108132,1791773.671792077,283045.73143814504,1793045.6747069163
18-Jun,1882639,11557305,8278180,1385965,13865039,882800,0,7346215,48813363,518.520986485295,13864872.087516757,7346098.592336005,883788.4328046106,7346525.940172642
19-Jun,14841647,15366,1227450,15358334,16607017,0,11767056,0,890493,11768105.513628513,16607483.28204221,0.0,72.7739278441295,1715.7479794574901
20-Jun,697049,19526204,2252749,14273456,3031498,6283050,11494277,2520531,9818706,11494572.687161235,3030643.9877178734,2520242.935932395,6282212.15963855,2520982.9184971764
21-Jun,0,10099444,7591851,7876000,1589217,14903190,4042780,3881650,3947611,4040355.441669018,1588564.0220996402,3882770.651161819,14899856.610160597,3884467.5681115733
22-Jun,0,6980196,8775432,0,0,7741857,9410220,794247,11945650,9410394.909149531,1902.343476101756,795048.1457370548,7740689.5495313,796775.9033610625
